track_id;popularity;track_name;duration
73ExiZGfM6v3atyTPmiOzH;54;GIRLS!;142196
1AOYdCRDBYP0WgLA0iNspl;26;People Of Substance;179826
4B6R66mMYG1Yn3p2r8cGKx;27;Benjamin B;203506
1M0UHcttHe60N8fe72V7jD;55;I Got The Fye;151898
10twEEpq8Q4BIEXJb0xulD;46;I Want You (Fever);217249
1bzEg4DkUQOhXDFn89Fex7;44;Tadka;262064
3U3hFkMr0Q90pD24EkE3Pr;86;BMF;180746
5Rb1SPunxB1aKDfaYQLwI7;48;Besties;216757
23vJWqvitItB6Qmvld8GQc;30;Rainy Saturday;233484
1fyPqW0evU3DiqGnpOKpUn;24;Bystander Effect (feat. ELUCID);185966
64QxwjdmXEfdMLrJV2POVC;8;Dirge of the Lonely;293052
4nJABCg1GAbrmnUHyiXFGb;26;Fly;190426
1MhXchY126AX5Iuv4Odbe8;75;LV Bag (feat. j-hope of BTS & Pharrell Williams);182603
4d9sh6oekDIWtAT16Y5YhX;16;Story of the Egg;265077
0kGg0YtWXxbGdyDSFM1tQL;49;bloodonmyhands (feat. Flo Milli);162403
1eeNl33TLVUVBZmqKT3Yed;41;Paper Tiger;236746
5gPOvRTZlGvva5RkZIGIuO;34;PROGRESSION;154285
0KKkgtMyR2G9CrAub2qsSs;16;idk wtf;164598
0MP8QNJMpjQVzrA9zlP7zm;16;Sweet Celine;171359
0IvnfkBlA5cqGygZhyhF59;25;Twin Flame - Acoustic;196893
3be9lEoOwbDROZViutmSgd;51;No Loss, No Love;176466
4Isv1MOD6qBkXMIEaKhIDN;7;Dub Vultures;171580
4mwswlM0HATHu9SabiiXiY;67;Easter Pink;84846
5WEF0icHWmAZBBMglBd599;88;WELTiTA;187507
5ZLUm9eab8y3tqQ1OhQSHI;91;Abracadabra;223398
3Ai8swkl3r7q5TzaOFcpXu;67;Static;209835
6bXjFzfX3YUpUoqTH8dvQC;43;Performance Actitud (Pose);168916
36nYS9AwMR06ph6imdjn7J;67;I Guess We're Not The Same;211575
3FaMLlBEsX1F6TsDyuJsfH;17;Cranium;205955
1NhqrRHoj1r4imt9CJ8ZjZ;61;TÚ ME CALIENTAS;188325
2qkbQUH772cH13UTe6CEIh;17;Cumulonimbus;241714
3ZYMLd8UWBWqC3VUdWtjMP;54;Love & Money;229656
1BIyul1y6fqWuRnPJQnIE3;49;House of Light;349360
5lDEyYqBrVn7eQTIVgx5sx;49;Doomsday;228571
7AL5SFvQYZLbfmGzq1WFQ2;27;I Just Do!;189786
2BbfLLQkfh90SUcwygvqIG;44;Cough;109799
0sbQakBa4DM2ITECNnDlhR;32;What's It Like;162927
6409bzRqrc9guKehKXiEcN;62;CUT UP;176785
7cxdXq5q4OS6xiCwd9a5SX;37;Out Of The Blue;221505
1E6TPggD7VXVsLnJXTI9qU;20;Bad Word;153164
6TeCEz8wIqVSHmY8KeqnOM;30;Sorry X (feat. Yours Truly);179360
2Hba8UzMbq4yPPC65sZLIY;62;Something Heavy;215306
5nVby0RIRtqFSYN5TDDGeb;73;Blink Twice;153918
0D3z7YrhFHbdahOjPbtByX;55;Kundalini;214274
56IdAHbhkwMITBey8ijR37;33;Angelfire;216000
6BLHt08Gaa41PmY07pryul;24;Hydroplaning Off the Edge of the World;289813
0rDq4W12BQzwKYYuYP0EIj;46;Take Your Aim;200520
6F6TCDUf7yQ8cnOJa5H3WC;35;choking on my words;246426
2skfh2imJk2J9cavIxGFb4;29;No Friends;172824
11axoUaU7l12dCfizpVV2R;37;Les Santolines;187458
1xg9cKxl0QXJ9MsZljrB4i;31;Line of Feeling;169509
7tWObLDZvkXipaTs2g5lVG;40;Forgive (feat. Joe Taylor);193912
01hSEJ4ymUJzj1jpgXkfGx;27;Stay;245000
3m1LiSq0rio8k0yYlusWxV;72;High Fashion;198172
4LU6OmxWbg2puqLHamzgLH;30;I Need You;381825
1NDk9nqc215p1MNWpNOG3g;58;television;211047
4ZnzYYLLLqR0HbMUKhD9Dr;35;Jupiter;167642
5nsUidvKeOy9JLzQI2QYVt;33;SUGAR RUSH;182053
35ZqYRmUB4rHzXRCl8DzYe;4;Blau ist die Farbe der Ewigkeit;330214
3nqo6oCIDGVCQseDGeSPy5;37;Two Times;226280
3njIMWoLYyGj3bDaDwdsgX;32;Dancing In The Rain;131506
6a8KhlDiDzF6Jr5Vkru8Gz;67;BUTTERFLY;265792
3MW8BIoU3W5sl261DfiEsh;16;role of fear;360000
5bA9nkU0bUuBrAaakSiOXP;48;Everything Is Peaceful Love;210054
2UxZMkNEeWqBoqfiGTrNVy;27;Sickle Walk;86242
5l4VEGQ5JO5SFehAyf51sW;2;shut me down;283098
